	offset_z	hours	group	Sample_Number_Label	cyd1_mean_intensity	perc_intensity_change
0	-2	-0.3333333333333333	KO	1_1	2878.5154023	4.0441309596243835
1	-1	-0.16666666666666666	KO	1_1	2907.50321305	5.091897310117396
2	0	0.0	KO	1_1	2766.62929062	0.0
3	1	0.16666666666666666	KO	1_1	2794.85840708	1.0203432948428566
4	2	0.3333333333333333	KO	1_1	2846.17454955	2.8751686826887375
5	3	0.5	KO	1_1	2899.57944557	4.805492206735294
6	4	0.6666666666666666	KO	1_1	3014.04680187	8.942922425091277
7	5	0.8333333333333334	KO	1_1	3048.63441906	10.193094152372053
8	6	1.0	KO	1_1	3041.27104208	9.926944400941144
9	7	1.1666666666666667	KO	1_1	3120.9313051999998	12.806269917738087
10	8	1.3333333333333333	KO	1_1	3178.98096565	14.904478761503759
11	9	1.5	KO	1_1	3203.36682547	15.785907289087051
12	10	1.6666666666666667	KO	1_1	3205.05685324	15.846993455409716
13	11	1.8333333333333333	KO	1_1	3223.49147355	16.513314034480473
14	12	2.0	KO	1_1	3264.20249892	17.984816758319432
15	13	2.1666666666666665	KO	1_1	3266.06042296	18.05197154650515
16	14	2.3333333333333335	KO	1_1	3300.01203819	19.279154940576415
17	15	2.5	KO	1_1	3334.24674742	20.516570786135098
18	16	2.6666666666666665	KO	1_1	3287.90202703	18.841437780526903
19	17	2.8333333333333335	KO	1_1	3278.13742331	18.488495528628313
20	18	3.0	KO	1_1	3307.58684521	19.552946844886886
21	19	3.1666666666666665	KO	1_1	3416.72507553	23.49775544971238
22	20	3.3333333333333335	KO	1_1	3297.3980121	19.184670793428015
23	21	3.5	KO	1_1	3228.22020725	16.68423442905708
24	22	3.6666666666666665	KO	1_1	3228.25524625	16.685500916046095
25	23	3.8333333333333335	KO	1_1	3307.50948509	19.550150658196383
26	24	4.0	KO	1_1	3301.89892129	19.347356455914856
27	25	4.166666666666667	KO	1_1	3362.01420577	21.520227417840083
28	26	4.333333333333333	KO	1_1	3254.85652362	17.64700585854741
29	27	4.5	KO	1_1	3389.2247765	22.503755309424804
30	28	4.666666666666667	KO	1_1	3311.80062671	19.705254257892545
31	29	4.833333333333333	KO	1_1	3289.0592981	18.883267420440113
32	30	5.0	KO	1_1	3190.82594551	15.332616347560526
33	31	5.166666666666667	KO	1_1	3178.18978689	14.875881552521605
34	32	5.333333333333333	KO	1_1	3275.63045497	18.397880990984987
35	33	5.5	KO	1_1	3198.82838813	15.621865169118635
36	34	5.666666666666667	KO	1_1	3214.92820104	16.203793979190344
37	35	5.833333333333333	KO	1_1	3211.38215555	16.075621928745317
38	36	6.0	KO	1_1	3142.52285714	13.586698000864516
39	37	6.166666666666667	KO	1_1	3092.9327461999997	11.794260137644791
40	38	6.333333333333333	KO	1_1	2993.41114983	8.197045407524694
41	39	6.5	KO	1_1	2978.40471589	7.654636853155737
42	40	6.666666666666667	KO	1_1	2942.19704992	6.345908354807282
43	41	6.833333333333333	KO	1_1	2840.04189373	2.6535034295667503
44	42	7.0	KO	1_1	2852.67449664	3.1101097032308704
45	43	7.166666666666667	KO	1_1	2706.45411392	-2.1750357702066703
46	44	7.333333333333333	KO	1_1	2688.75482625	-2.8147777020226856
47	45	7.5	KO	1_1	2662.71959768	-3.755822772942382
48	46	7.666666666666667	KO	1_1	2719.2631746999996	-1.712051415077219
49	47	7.833333333333333	KO	1_1	2740.63148532	-0.9396924043327065
50	48	8.0	KO	1_1	2729.14589856	-1.3548397028501027
51	49	8.166666666666666	KO	1_1	2654.29787879	-4.060226363208443
52	50	8.333333333333334	KO	1_1	2625.94452598	-5.085060189197692
53	51	8.5	KO	1_1	2787.09300874	0.7396624545753347
54	52	8.666666666666666	KO	1_1	2773.17086918	0.2364457927984226
55	53	8.833333333333334	KO	1_1	2669.23232926	-3.5204196561576055
56	54	9.0	KO	1_1	2741.06292872	-0.9240978539004322
57	55	9.166666666666666	KO	1_1	2689.17191517	-2.7997019952261852
58	56	9.333333333333334	KO	1_1	2651.9042623000005	-4.1467437906829145
59	57	9.5	KO	1_1	2625.38951796	-5.105120991050755
60	58	9.666666666666666	KO	1_1	2470.3331276999997	-10.709644545605189
61	59	9.833333333333334	KO	1_1	2608.98562092	-5.698040942256925
62	60	10.0	KO	1_1	2580.28522572	-6.735418638549884
63	61	10.166666666666666	KO	1_1	2495.85867238	-9.787022032840571
64	62	10.333333333333334	KO	1_1	2492.30498001	-9.915470480272564
65	63	10.5	KO	1_1	2497.23082651	-9.73742543040987
66	64	10.666666666666666	KO	1_1	2442.9541698000003	-11.69925880266613
67	65	10.833333333333334	KO	1_1	2448.6862963000003	-11.49207070849557
68	66	11.0	KO	1_1	2340.00649573	-15.420309339470418
69	67	11.166666666666666	KO	1_1	2246.37204591	-18.804732765386532
70	68	11.333333333333334	KO	1_1	2219.38137322	-19.780312427667607
71	69	11.5	KO	1_1	2244.13574814	-18.88556389724731
72	70	11.666666666666666	KO	1_1	2215.81550503	-19.909200970924545
73	71	11.833333333333334	KO	1_1	2183.39401869	-21.08107775434191
74	72	12.0	KO	1_1	2241.13499044	-18.994026484200102
229	-5	-0.8333333333333334	KO	3_1	1401.46165684	-8.73981507594223
230	-4	-0.6666666666666666	KO	3_1	1436.17271589	-6.479505168530649
231	-3	-0.5	KO	3_1	1429.71871992	-6.8997755789601305
232	-2	-0.3333333333333333	KO	3_1	1483.74724467	-3.3815536313282406
233	-1	-0.16666666666666666	KO	3_1	1549.14663278	0.8771146124367709
234	0	0.0	KO	3_1	1535.67698554	0.0
235	1	0.16666666666666666	KO	3_1	1530.3570005000001	-0.346426044675612
236	2	0.3333333333333333	KO	3_1	1591.82774766	3.6564175050299017
237	3	0.5	KO	3_1	1634.72313253	6.449673200980587
238	4	0.6666666666666666	KO	3_1	1700.01892216	10.701595333357911
239	5	0.8333333333333334	KO	3_1	1720.73308176	12.050457092376591
240	6	1.0	KO	3_1	1795.34067086	16.908743685358594
241	7	1.1666666666666667	KO	3_1	1815.08754717	18.19461802585712
242	8	1.3333333333333333	KO	3_1	1823.98126108	18.773757649211735
243	9	1.5	KO	3_1	1811.60087494	17.967573389333246
244	10	1.6666666666666667	KO	3_1	1862.29691452	21.268791031933613
245	11	1.8333333333333333	KO	3_1	1888.11344328	22.94990815507145
246	12	2.0	KO	3_1	1879.87862595	22.413674467418428
247	13	2.1666666666666665	KO	3_1	1905.04709776	24.05259150837088
248	14	2.3333333333333335	KO	3_1	1892.98009828	23.266814317358488
249	15	2.5	KO	3_1	1877.36016097	22.249677415713283
250	16	2.6666666666666665	KO	3_1	1938.13447494	26.207170725976674
251	17	2.8333333333333335	KO	3_1	1935.42444951	26.030699667575867
252	18	3.0	KO	3_1	1948.97224325	26.912903012912597
253	19	3.1666666666666665	KO	3_1	1983.80319282	29.18101993450286
254	20	3.3333333333333335	KO	3_1	1977.42994336	28.766007564062274
255	21	3.5	KO	3_1	1993.03997039	29.7824991294751
256	22	3.6666666666666665	KO	3_1	2000.83476132	30.29007923931566
257	23	3.8333333333333335	KO	3_1	1982.22629521	29.078335735621962
258	24	4.0	KO	3_1	1960.00170607	27.631118036244573
