	hours	mean	ci_high	ci_low	group
0	-0.6666666666666666	-2.7354556046178176	1.7734594706341456	-8.15667512613226	WT
1	-0.5	-1.2298110245608507	1.9495323713163781	-4.822690960493371	WT
2	-0.3333333333333333	-0.025018899690874747	2.0921467694672637	-2.637747829350869	WT
3	-0.16666666666666666	0.13502283663536896	1.5421491101486	-1.1644373783443553	WT
4	0.0	0.0	0.0	0.0	WT
5	0.16666666666666666	-0.24555114298616132	1.1713991946014546	-1.8618334787182798	WT
6	0.3333333333333333	-0.8569418889148017	1.972450489348665	-3.5401928317553	WT
7	0.5	-1.8303609171535955	1.9347644911742825	-5.876163654232299	WT
8	0.6666666666666666	-4.358234707130568	0.9714056860298738	-10.764181327003346	WT
9	0.8333333333333334	-5.970682429275569	-0.17659817242695475	-12.734223788534795	WT
10	1.0	-6.932455174262887	-0.8822902729266588	-14.462634187093625	WT
11	1.1666666666666667	-8.459477116775004	-2.2885938431826873	-16.00344992805169	WT
12	1.3333333333333333	-9.930304306345256	-2.7008990413945213	-17.88663854868761	WT
13	1.5	-11.728098688207934	-4.258175715328575	-18.940509272705004	WT
14	1.6666666666666667	-13.771532823886249	-5.84705224224394	-21.329630720832018	WT
15	1.8333333333333333	-15.683697282722134	-6.68147188578849	-23.704023191952384	WT
16	2.0	-16.9980164352041	-8.277394941700733	-25.500138204894107	WT
17	2.1666666666666665	-18.77256486750802	-9.14617326902074	-27.737600692293775	WT
18	2.3333333333333335	-20.498314811610708	-10.175566700141058	-29.630860203582294	WT
19	2.5	-21.999621689840826	-12.450529237602302	-31.638756425679745	WT
20	2.6666666666666665	-23.210764811752103	-12.409118547224217	-33.95073124558186	WT
21	2.8333333333333335	-25.252673158577682	-14.391779128623643	-35.20394314737347	WT
22	3.0	-26.802939373439553	-15.680372279047685	-37.62088433909824	WT
23	3.1666666666666665	-29.181960772039847	-17.869533325714958	-40.35574865991137	WT
24	3.3333333333333335	-30.42911784586209	-19.266787803503195	-42.267875532856884	WT
25	3.5	-32.27452488821112	-20.599541079505823	-44.19594586031128	WT
26	3.6666666666666665	-34.63394489240001	-23.33605528989943	-45.34196047243954	WT
27	3.8333333333333335	-37.926181114321054	-26.604666293455715	-48.868865041780495	WT
28	4.0	-39.716877977509206	-29.003106064008985	-50.19804726736619	WT
29	4.166666666666667	-41.57064801901556	-30.266064905346774	-52.915941233835305	WT
30	4.333333333333333	-44.11898796192329	-34.53172771269061	-53.65631879983381	WT
31	4.5	-45.87560716980456	-36.43076296338616	-56.07982213948463	WT
32	4.666666666666667	-47.065651142439485	-37.252192279149185	-56.92754441491154	WT
33	4.833333333333333	-48.184880086270276	-37.89517236417589	-58.107931992043085	WT
34	5.0	-49.50456569006844	-39.30418434479405	-58.93316459068302	WT
35	5.166666666666667	-50.70094459042909	-40.85530897844598	-60.510354909265814	WT
36	5.333333333333333	-51.75686937150163	-41.542479307308	-60.885785237983455	WT
37	5.5	-52.59501861087113	-43.059853364634826	-61.85825812962814	WT
38	5.666666666666667	-53.49954264116091	-43.62824786796321	-62.722410559824056	WT
39	5.833333333333333	-54.39292605345302	-44.12479948370781	-63.31290558253132	WT
40	6.0	-55.14534318523454	-45.66177741650552	-64.02934675456189	WT
41	6.166666666666667	-55.65501469009427	-45.870921145385786	-64.57600270674841	WT
42	6.333333333333333	-56.594422613974935	-46.212070885603765	-65.78663264601114	WT
43	6.5	-57.096143568393096	-48.55612065865723	-65.81985079291141	WT
44	6.666666666666667	-57.23618800961376	-47.41221891324705	-66.57989649157904	WT
45	6.833333333333333	-57.79437565856327	-48.42652760709293	-67.36122652311889	WT
46	7.0	-58.01373438431438	-48.854513742130045	-66.96347382004818	WT
47	7.166666666666667	-58.13495338618861	-49.42889385426636	-66.97529018936049	WT
48	7.333333333333333	-58.37084487336057	-49.336646252861684	-67.26521970434501	WT
49	7.5	-58.64439263763753	-50.19671225778174	-67.27139341014957	WT
50	7.666666666666667	-58.889702982785685	-49.17705472948961	-67.78261025146602	WT
51	7.833333333333333	-58.95910709450241	-49.85060596953289	-67.57827395402114	WT
52	8.0	-59.458397262188136	-50.53931994587681	-68.14926344483062	WT
53	8.166666666666666	-59.80288484996843	-50.80495374363914	-68.72417512519752	WT
54	8.333333333333334	-60.331596203367404	-52.101409128606214	-68.68077583840682	WT
55	8.5	-60.58241057436351	-51.22660357503567	-68.7159980663097	WT
56	8.666666666666666	-59.97922572435829	-51.47460863007534	-68.09037581478296	WT
57	8.833333333333334	-60.046741278877825	-51.20612275743937	-69.11760173843007	WT
58	9.0	-60.29653432205627	-51.9499871825929	-69.20399901230903	WT
59	9.166666666666666	-60.21076048034312	-51.746491483713825	-68.99101882517245	WT
60	9.333333333333334	-60.71372136745408	-52.17754215865614	-69.36542266304792	WT
61	9.5	-60.73462950768974	-52.49065743167648	-68.56146561054581	WT
62	9.666666666666666	-60.892351960833196	-52.255356580979225	-69.51223154121128	WT
63	9.833333333333334	-60.879395818198766	-51.995735097559354	-69.05523599852259	WT
64	10.0	-60.85999378064276	-51.9386287717785	-69.41773066091717	WT
65	10.166666666666666	-60.97224069605672	-52.418906399077855	-69.09210682456755	WT
66	10.333333333333334	-61.11396579202103	-52.73055412898822	-70.22358526011199	WT
67	10.5	-60.63858240086558	-51.25229505262953	-69.26289588736937	WT
68	10.666666666666666	-60.655650471816614	-51.04894770636165	-69.06002381827335	WT
69	10.833333333333334	-61.369506332215565	-52.198352556381465	-69.85512889257919	WT
70	11.0	-61.222682526200316	-52.03988018716221	-70.1833753867138	WT
71	11.166666666666666	-60.44635050550957	-49.861985158319314	-70.24073344698279	WT
72	11.333333333333334	-61.37969630574727	-50.24664817474409	-70.38375215373068	WT
73	11.5	-61.68207632502044	-51.181415574662836	-71.13948258806236	WT
74	11.666666666666666	-63.3125900262133	-50.629310735697075	-73.15749391203916	WT
75	11.833333333333334	-63.738509701353934	-53.683555829223856	-73.54252154767528	WT
76	-0.8333333333333334	-0.6964403929023152	3.3147659351626633	-4.654427089654414	WT
77	-0.3333333333333333	-0.671612583618686	2.0921467694672637	-2.637747829350869	KO
78	-0.16666666666666666	0.3346401591636443	1.5421491101486	-1.1644373783443553	KO
79	0.0	0.0	0.0	0.0	KO
80	0.16666666666666666	0.34708900806704185	1.1713991946014546	-1.8618334787182798	KO
81	0.3333333333333333	1.5029677829106536	1.972450489348665	-3.5401928317553	KO
82	0.5	2.328993499850537	1.9347644911742825	-5.876163654232299	KO
83	0.6666666666666666	2.6377727729716884	0.9714056860298738	-10.764181327003346	KO
