,z,x_col,y_row,track_window,pcna_mean_intensity,Sample_Number,Label,norm_mean_inten,offset_z
32,32,320,278,"(285L, 237L, 70L, 82L)",262.217424242,3,1,0.963845072788,28
33,33,320,278,"(285L, 237L, 70L, 83L)",262.337975628,3,1,0.965917042671,29
34,34,321,277,"(287L, 236L, 69L, 83L)",262.802431611,3,1,0.973899852696,30
35,35,321,275,"(287L, 234L, 68L, 82L)",263.186099796,3,1,0.980494127177,31
36,36,320,276,"(286L, 236L, 68L, 81L)",264.320990807,3,1,1.0,32
37,37,319,278,"(285L, 238L, 68L, 81L)",263.979510245,3,1,0.994130822825,33
38,38,319,282,"(285L, 241L, 68L, 82L)",262.907823961,3,1,0.975711277542,34
39,39,317,278,"(282L, 238L, 70L, 81L)",262.562726613,3,1,0.969779937081,35
40,40,315,280,"(281L, 238L, 69L, 85L)",262.39708384,3,1,0.9669329616,36
41,41,312,281,"(278L, 240L, 69L, 82L)",261.311137725,3,1,0.948268326305,37
42,42,313,282,"(279L, 241L, 69L, 82L)",260.361344538,3,1,0.931943811496,38
43,43,313,281,"(279L, 239L, 69L, 84L)",259.101226994,3,1,0.910285614961,39
44,44,311,277,"(277L, 237L, 69L, 81L)",258.888120229,3,1,0.906622854912,40
45,45,308,276,"(274L, 235L, 69L, 82L)",260.49964631,3,1,0.934320865108,41
46,46,307,280,"(273L, 239L, 69L, 82L)",259.315207156,3,1,0.913963386479,42
47,47,308,279,"(274L, 238L, 68L, 82L)",259.661443495,3,1,0.919914303282,43
48,48,312,276,"(278L, 234L, 69L, 84L)",257.495279761,3,1,0.882683490879,44
49,49,310,274,"(276L, 232L, 68L, 85L)",257.226809015,3,1,0.878069165661,45
50,50,310,272,"(276L, 230L, 68L, 85L)",256.40649259,3,1,0.863970025109,46
51,51,310,273,"(277L, 231L, 67L, 85L)",256.395848246,3,1,0.863787076074,47
52,52,311,274,"(277L, 231L, 68L, 86L)",254.156521739,3,1,0.825298782795,48
53,53,311,274,"(277L, 230L, 68L, 88L)",253.758056872,3,1,0.818450191213,49
54,54,310,277,"(277L, 233L, 67L, 88L)",252.003534402,3,1,0.788294438938,50
55,55,313,281,"(281L, 236L, 64L, 90L)",251.653406384,3,1,0.782276634129,51
56,56,312,276,"(279L, 232L, 66L, 89L)",250.43422612,3,1,0.761322044695,52
57,57,309,274,"(276L, 231L, 67L, 87L)",249.721960415,3,1,0.749080019574,53
58,58,311,272,"(277L, 228L, 68L, 88L)",248.284484764,3,1,0.724373490957,54
59,59,312,276,"(279L, 232L, 67L, 89L)",247.061481136,3,1,0.703353187689,55
60,60,315,278,"(281L, 234L, 68L, 89L)",246.46170014,3,1,0.693044486918,56
61,61,313,279,"(280L, 235L, 67L, 88L)",246.398579882,3,1,0.69195961117,57
62,62,312,279,"(279L, 235L, 67L, 88L)",245.840435606,3,1,0.6823665391,58
63,63,310,278,"(276L, 235L, 68L, 87L)",244.656702475,3,1,0.662021195198,59
64,64,312,275,"(279L, 232L, 67L, 87L)",243.375177978,3,1,0.639995067905,60
65,65,312,275,"(279L, 231L, 67L, 88L)",243.10601304,3,1,0.635368811289,61
66,66,315,275,"(282L, 231L, 66L, 89L)",241.394230769,3,1,0.605947653691,62
67,67,312,275,"(279L, 231L, 67L, 88L)",240.514520813,3,1,0.590827690308,63
68,68,314,278,"(280L, 234L, 69L, 89L)",238.164399625,3,1,0.550435119928,64
69,69,316,279,"(282L, 235L, 68L, 89L)",237.178366762,3,1,0.533487737812,65
70,70,312,279,"(279L, 234L, 67L, 91L)",236.699335548,3,1,0.525254416858,66
71,71,312,280,"(280L, 235L, 65L, 91L)",235.106756432,3,1,0.497882056505,67
72,72,312,279,"(279L, 235L, 67L, 89L)",234.965683905,3,1,0.495457380711,68
73,73,319,280,"(285L, 235L, 68L, 91L)",232.94476604,3,1,0.460722973173,69
74,74,315,279,"(283L, 234L, 64L, 91L)",231.146113244,3,1,0.429808733515,70
75,75,312,280,"(279L, 236L, 66L, 89L)",232.446437346,3,1,0.452157977926,71
76,76,315,280,"(282L, 235L, 67L, 91L)",229.907275321,3,1,0.408516279223,72
77,77,313,280,"(280L, 235L, 66L, 90L)",229.63098115,3,1,0.403767489335,73
78,78,315,282,"(283L, 237L, 65L, 91L)",229.06301166,3,1,0.394005546956,74
79,79,318,285,"(285L, 239L, 66L, 92L)",227.834438713,3,1,0.372889521338,75
80,80,321,283,"(289L, 238L, 64L, 91L)",227.432036382,3,1,0.365973254828,76
81,81,315,285,"(283L, 240L, 65L, 91L)",226.791613723,3,1,0.354966027859,77
82,82,317,285,"(286L, 240L, 62L, 91L)",225.793307593,3,1,0.337807699683,78
83,83,317,286,"(286L, 241L, 62L, 90L)",225.377574967,3,1,0.330662319507,79
84,84,317,287,"(287L, 242L, 61L, 91L)",224.168814094,3,1,0.309886812743,80
85,85,319,289,"(288L, 244L, 63L, 90L)",222.743147208,3,1,0.28538324658,81
86,86,319,287,"(288L, 242L, 62L, 90L)",223.471146448,3,1,0.297895690904,82
87,87,324,288,"(291L, 243L, 66L, 91L)",219.822233226,3,1,0.235180208465,83
88,88,322,288,"(288L, 243L, 68L, 91L)",220.776973027,3,1,0.251589742916,84
89,89,320,287,"(289L, 242L, 62L, 91L)",219.938418652,3,1,0.237177138671,85
90,90,323,285,"(289L, 241L, 69L, 89L)",220.109442606,3,1,0.240116602878,86
91,91,325,283,"(293L, 237L, 65L, 92L)",219.134552744,3,1,0.223360740423,87
92,92,327,283,"(293L, 238L, 69L, 91L)",219.136016302,3,1,0.223385895239,88
93,93,328,286,"(296L, 240L, 64L, 92L)",217.528287462,3,1,0.1957531499,89
94,94,331,289,"(301L, 243L, 61L, 92L)",216.757114329,3,1,0.182498656807,90
95,95,332,286,"(301L, 240L, 63L, 93L)",216.45707196,3,1,0.177341696164,91
96,96,328,286,"(299L, 240L, 59L, 92L)",216.023207301,3,1,0.169884672728,92
97,97,331,286,"(300L, 241L, 62L, 91L)",216.439968611,3,1,0.177047733349,93
98,98,329,288,"(298L, 242L, 62L, 93L)",215.256967527,3,1,0.156714971464,94
99,99,328,288,"(297L, 243L, 63L, 91L)",215.599735099,3,1,0.162606269044,95
100,100,330,289,"(299L, 244L, 63L, 91L)",214.203507867,3,1,0.138608695204,96
101,101,337,290,"(307L, 244L, 60L, 93L)",214.234868773,3,1,0.139147708949,97
102,102,334,289,"(304L, 243L, 61L, 92L)",213.630021142,3,1,0.128751925678,98
103,103,331,291,"(302L, 245L, 58L, 92L)",213.145641296,3,1,0.120426675426,99
104,104,337,293,"(307L, 245L, 60L, 96L)",212.50942902,3,1,0.109491814179,100
105,105,337,288,"(308L, 242L, 59L, 92L)",212.720906014,3,1,0.11312656263,101
106,106,343,288,"(313L, 242L, 60L, 93L)",212.333888889,3,1,0.106474728442,102
107,107,347,287,"(314L, 241L, 66L, 93L)",212.193800539,3,1,0.104066968129,103
108,108,340,287,"(308L, 241L, 64L, 93L)",210.315724816,3,1,0.0717876515523,104
109,109,344,290,"(311L, 243L, 66L, 94L)",210.750981932,3,1,0.0792686077715,105
110,110,343,291,"(308L, 246L, 70L, 91L)",209.86059386,3,1,0.0639651148899,106
111,111,344,288,"(309L, 243L, 71L, 90L)",210.758886746,3,1,0.0794044712861,107
112,112,340,288,"(310L, 242L, 61L, 92L)",209.854347826,3,1,0.063857761546,108
113,113,341,291,"(310L, 246L, 63L, 90L)",209.983789827,3,1,0.066082538356,109
114,114,348,291,"(313L, 245L, 70L, 93L)",209.1912,3,1,0.0524599470973,110
115,115,345,290,"(310L, 245L, 70L, 90L)",208.230749421,3,1,0.0359522589755,111
116,116,345,290,"(311L, 245L, 69L, 90L)",208.534645457,3,1,0.0411754543157,112
117,117,340,291,"(312L, 245L, 56L, 92L)",209.941159504,3,1,0.0653498321775,113
118,118,349,291,"(317L, 245L, 64L, 93L)",207.867566217,3,1,0.0297100689187,114
119,119,343,287,"(315L, 241L, 56L, 92L)",209.220011703,3,1,0.0529551465521,115
120,120,344,289,"(315L, 243L, 58L, 93L)",209.564242424,3,1,0.0588715919309,116
121,121,342,293,"(311L, 243L, 62L, 101L)",209.524356103,3,1,0.0581860481193,117
122,122,346,290,"(315L, 241L, 62L, 98L)",209.013554633,3,1,0.0494066777572,118
123,123,341,289,"(311L, 241L, 60L, 97L)",210.130724175,3,1,0.0686079638615,119
124,124,344,286,"(312L, 244L, 64L, 85L)",209.938787185,3,1,0.0653090580914,120
125,125,342,288,"(311L, 244L, 62L, 88L)",208.607053596,3,1,0.0424199649709,121
126,126,343,293,"(312L, 246L, 63L, 94L)",208.042238069,3,1,0.0327122311558,122
127,127,338,295,"(306L, 249L, 65L, 92L)",207.775789768,3,1,0.0281326665742,123
128,128,339,294,"(305L, 248L, 68L, 92L)",207.900421496,3,1,0.0302747671108,124
129,129,346,294,"(310L, 246L, 72L, 97L)",208.143168803,3,1,0.0344469722344,125
130,130,344,294,"(306L, 247L, 76L, 94L)",207.719043782,3,1,0.0271573482598,126
131,131,336,295,"(305L, 248L, 63L, 95L)",207.974071892,3,1,0.0315406289688,127
132,132,341,295,"(305L, 247L, 72L, 96L)",208.137685134,3,1,0.034352722004,128
133,133,336,294,"(303L, 248L, 67L, 92L)",207.622228459,3,1,0.0254933405667,129
134,134,343,291,"(310L, 243L, 66L, 97L)",207.202820874,3,1,0.0182847972515,130
135,135,337,289,"(304L, 240L, 66L, 99L)",208.054998481,3,1,0.0329315499831,131
136,136,339,292,"(305L, 248L, 69L, 89L)",207.156066125,3,1,0.0174812027308,132
137,137,339,292,"(305L, 248L, 69L, 89L)",206.138974503,3,1,0.0,133
138,138,339,292,"(305L, 248L, 69L, 89L)",206.453908658,3,1,0.00541291236073,134
139,139,335,290,"(305L, 244L, 60L, 92L)",206.859813084,3,1,0.01238937093,135
140,140,341,287,"(307L, 240L, 68L, 94L)",208.423204787,3,1,0.0392600743265,136
141,141,341,288,"(311L, 239L, 61L, 98L)",206.919927207,3,1,0.0134225788911,137
142,142,342,293,"(317L, 246L, 50L, 94L)",207.027787077,3,1,0.0152764141075,138
143,0,292,233,"(253, 198, 78, 71)",199.465914915,3,2,,-56
144,0,313,252,"(271, 220, 84, 65)",790.143041653,5,1,0.923366231524,-83
145,1,314,253,"(274L, 223L, 81L, 61L)",821.679775281,5,1,0.981691184657,-82
146,2,320,251,"(280L, 221L, 81L, 61L)",830.202792553,5,1,0.997453900886,-81
147,3,323,251,"(284L, 222L, 79L, 59L)",831.579487179,5,1,1.0,-80
148,4,327,249,"(289L, 219L, 76L, 61L)",816.336419753,5,1,0.971809027411,-79
149,5,326,249,"(288L, 219L, 77L, 61L)",798.727928547,5,1,0.939243371232,-78
150,6,327,250,"(289L, 221L, 76L, 59L)",789.946428571,5,1,0.923002609568,-77
151,7,329,249,"(291L, 220L, 76L, 59L)",760.806328234,5,1,0.869110059802,-76
152,8,326,247,"(289L, 217L, 75L, 60L)",746.24738676,5,1,0.842184329663,-75
153,9,329,248,"(290L, 219L, 78L, 58L)",729.634341328,5,1,0.811459679874,-74
154,10,330,246,"(295L, 217L, 70L, 58L)",723.154867257,5,1,0.799476351924,-73
155,11,326,245,"(292L, 217L, 69L, 57L)",706.365313653,5,1,0.768425262785,-72
156,12,327,245,"(291L, 218L, 72L, 54L)",680.295918367,5,1,0.720211764323,-71
157,13,329,244,"(291L, 220L, 76L, 49L)",674.217175573,5,1,0.70896956046,-70
158,14,333,242,"(293L, 219L, 80L, 47L)",654.877637131,5,1,0.673202455137,-69
159,15,328,243,"(296L, 220L, 65L, 47L)",669.861098502,5,1,0.700913304731,-68
160,16,327,245,"(294L, 222L, 67L, 46L)",658.005256242,5,1,0.678986764958,-67
161,17,326,243,"(290L, 220L, 73L, 46L)",640.719849246,5,1,0.647018630123,-66
162,18,332,242,"(295L, 217L, 75L, 50L)",627.432182986,5,1,0.622444033367,-65
163,19,332,240,"(293L, 215L, 79L, 50L)",615.182034976,5,1,0.599788253065,-64
164,20,334,239,"(293L, 215L, 82L, 49L)",604.244986237,5,1,0.579560956774,-63
165,21,333,237,"(291L, 214L, 84L, 47L)",592.976917349,5,1,0.558721462186,-62
166,22,331,235,"(289L, 213L, 84L, 44L)",591.160866203,5,1,0.555362804334,-61
167,23,330,236,"(288L, 214L, 84L, 45L)",580.833590734,5,1,0.536263240478,-60
168,24,327,237,"(285L, 214L, 85L, 47L)",564.889383816,5,1,0.506775560106,-59
169,25,323,235,"(280L, 212L, 86L, 46L)",562.933755117,5,1,0.503158763467,-58
170,26,322,233,"(280L, 211L, 84L, 44L)",564.035560766,5,1,0.505196474904,-57
171,27,324,234,"(282L, 213L, 85L, 42L)",557.098508634,5,1,0.49236688877,-56
172,28,324,234,"(282L, 214L, 84L, 41L)",553.908188586,5,1,0.48646661801,-55
173,29,322,231,"(282L, 212L, 81L, 39L)",560.074799644,5,1,0.497871327997,-54
174,30,326,229,"(285L, 210L, 82L, 39L)",556.967013889,5,1,0.492123698561,-53
175,31,327,230,"(285L, 210L, 84L, 41L)",535.132450331,5,1,0.451742221163,-52
176,32,324,230,"(283L, 210L, 83L, 41L)",533.743012098,5,1,0.449172553653,-51
177,33,323,228,"(282L, 207L, 83L, 43L)",534.385640585,5,1,0.45036104948,-50
178,34,323,226,"(281L, 205L, 84L, 43L)",529.48293127,5,1,0.441293836167,-49
179,35,324,223,"(283L, 201L, 83L, 44L)",520.169946333,5,1,0.424070130745,-48
180,36,326,223,"(285L, 200L, 83L, 46L)",511.02969877,5,1,0.40716589085,-47
181,37,327,224,"(286L, 205L, 82L, 38L)",527.245533435,5,1,0.437155927487,-46
182,38,331,223,"(290L, 201L, 82L, 44L)",525.362184441,5,1,0.433672807036,-45
183,39,331,224,"(291L, 202L, 81L, 44L)",514.113260972,5,1,0.412868720543,-44
184,40,332,224,"(292L, 202L, 80L, 44L)",507.939799331,5,1,0.401451340889,-43
185,41,331,224,"(291L, 203L, 81L, 42L)",514.857507661,5,1,0.414245152032,-42
186,42,329,224,"(289L, 205L, 81L, 39L)",507.814720812,5,1,0.401220017035,-41
187,43,327,225,"(287L, 204L, 80L, 42L)",499.958627174,5,1,0.386690728789,-40
188,44,325,225,"(284L, 203L, 83L, 45L)",500.46069869,5,1,0.387619274464,-39
189,45,325,226,"(284L, 203L, 82L, 47L)",494.447379634,5,1,0.376498067167,-38
190,46,325,228,"(284L, 205L, 83L, 47L)",485.478805006,5,1,0.359911324196,-37
191,47,323,229,"(281L, 206L, 84L, 46L)",482.107561666,5,1,0.353676448634,-36
192,48,321,227,"(279L, 204L, 85L, 46L)",472.261087543,5,1,0.335466092783,-35
193,49,321,227,"(278L, 205L, 86L, 44L)",468.939694656,5,1,0.3293234121,-34
194,50,322,226,"(279L, 205L, 86L, 42L)",474.795230263,5,1,0.340152810092,-33
195,51,322,226,"(280L, 206L, 84L, 40L)",470.327363599,5,1,0.331889807434,-32
196,52,318,225,"(276L, 205L, 84L, 40L)",468.180561374,5,1,0.327919448911,-31
197,53,317,227,"(274L, 205L, 86L, 44L)",460.125852919,5,1,0.31302283664,-30
198,54,314,228,"(272L, 208L, 85L, 40L)",465.19434629,5,1,0.322396655812,-29
199,55,315,229,"(272L, 209L, 86L, 40L)",469.672801636,5,1,0.330679241487,-28
200,56,315,229,"(273L, 210L, 85L, 39L)",466.269983687,5,1,0.324385970924,-27
201,57,312,228,"(270L, 209L, 85L, 39L)",468.022509379,5,1,0.327627142951,-26
202,58,313,228,"(272L, 210L, 83L, 36L)",463.103433658,5,1,0.31852966113,-25
203,59,313,225,"(271L, 207L, 85L, 37L)",463.605465414,5,1,0.319458133273,-24
204,60,316,224,"(275L, 206L, 83L, 37L)",471.083294771,5,1,0.333287848547,-23
205,61,315,224,"(271L, 206L, 89L, 37L)",467.69738652,5,1,0.327025851272,-22
206,62,311,224,"(267L, 206L, 89L, 37L)",466.355069227,5,1,0.324543330599,-21
207,63,312,224,"(268L, 206L, 89L, 36L)",459.032467532,5,1,0.311000697881,-20
208,64,308,224,"(263L, 206L, 91L, 37L)",454.711327134,5,1,0.30300905505,-19
209,65,306,225,"(263L, 208L, 87L, 34L)",455.489569463,5,1,0.304448359065,-18
210,66,306,224,"(261L, 207L, 91L, 34L)",448.454298643,5,1,0.29143712443,-17
211,67,304,224,"(260L, 206L, 89L, 36L)",449.388411046,5,1,0.293164699098,-16
212,68,307,224,"(263L, 207L, 89L, 34L)",449.508166122,5,1,0.293386177622,-15
213,69,306,224,"(262L, 207L, 89L, 34L)",448.664435946,5,1,0.291825758476,-14
214,70,307,224,"(263L, 208L, 88L, 33L)",447.148915187,5,1,0.289022910271,-13
215,71,303,224,"(258L, 207L, 91L, 35L)",446.155405405,5,1,0.287185484361,-12
216,72,305,223,"(261L, 207L, 88L, 33L)",446.879276637,5,1,0.288524232888,-11
217,73,308,224,"(264L, 206L, 89L, 36L)",445.069644573,5,1,0.285177446673,-10
218,74,307,223,"(262L, 206L, 90L, 35L)",440.014699127,5,1,0.275828683429,-9
219,75,307,224,"(261L, 206L, 92L, 36L)",437.850157021,5,1,0.271825516253,-8
220,76,304,223,"(258L, 203L, 93L, 40L)",427.571191366,5,1,0.252815297973,-7
221,77,304,223,"(257L, 202L, 94L, 43L)",418.912784197,5,1,0.236802187728,-6
222,78,304,225,"(258L, 203L, 92L, 44L)",419.035421327,5,1,0.237028996407,-5
223,79,301,228,"(254L, 207L, 94L, 42L)",420.370181818,5,1,0.239497541311,-4
224,80,300,231,"(253L, 210L, 94L, 42L)",419.782735918,5,1,0.238411101764,-3
225,81,298,231,"(252L, 211L, 93L, 41L)",417.612592593,5,1,0.23439757553,-2
226,82,296,232,"(250L, 211L, 93L, 43L)",416.632380245,5,1,0.232584742283,-1
227,83,295,232,"(249L, 212L, 93L, 41L)",416.199021821,5,1,0.231783276599,0
228,84,297,233,"(251L, 213L, 92L, 40L)",418.04077593,5,1,0.235189470258,1
229,85,300,233,"(253L, 212L, 94L, 43L)",415.273001508,5,1,0.230070667679,2
230,86,304,233,"(258L, 211L, 93L, 44L)",416.312003029,5,1,0.231992227334,3
231,87,307,233,"(262L, 212L, 91L, 43L)",419.886709367,5,1,0.238603393288,4
232,88,308,232,"(262L, 211L, 92L, 43L)",420.992462312,5,1,0.240648404968,5
233,89,304,231,"(257L, 211L, 94L, 41L)",414.405866033,5,1,0.228466962089,6
234,90,305,231,"(258L, 210L, 94L, 43L)",413.613627412,5,1,0.227001772925,7
235,91,303,229,"(256L, 208L, 95L, 43L)",400.97122571,5,1,0.203620547225,8
236,92,301,228,"(254L, 206L, 95L, 44L)",397.262853005,5,1,0.196762174803,9
237,93,301,227,"(254L, 205L, 95L, 45L)",400.162610619,5,1,0.20212507094,10
238,94,300,226,"(253L, 204L, 94L, 45L)",398.125227521,5,1,0.198357075334,11
239,95,298,227,"(251L, 205L, 95L, 44L)",396.780576853,5,1,0.195870239249,12
240,96,297,226,"(249L, 205L, 96L, 43L)",397.462703521,5,1,0.197131784165,13
241,97,296,226,"(248L, 204L, 97L, 44L)",397.045351474,5,1,0.19635992114,14
242,98,294,226,"(246L, 205L, 96L, 42L)",406.627839736,5,1,0.214082053855,15
243,99,292,225,"(246L, 204L, 93L, 43L)",403.026252983,5,1,0.207421174482,16
244,100,292,225,"(245L, 205L, 95L, 41L)",401.954117165,5,1,0.205438335292,17
245,101,296,226,"(248L, 205L, 96L, 43L)",397.32115919,5,1,0.196870007959,18
246,102,296,227,"(249L, 207L, 94L, 41L)",396.606648199,5,1,0.195548570535,19
247,103,297,229,"(250L, 208L, 94L, 42L)",394.401668653,5,1,0.19147061718,20
248,104,298,230,"(251L, 209L, 95L, 42L)",390.0027833,5,1,0.183335190567,21
249,105,298,228,"(251L, 206L, 95L, 45L)",384.975429017,5,1,0.174037455221,22
250,106,300,229,"(252L, 207L, 96L, 44L)",381.570710974,5,1,0.167740670568,23
251,107,298,228,"(251L, 207L, 94L, 43L)",383.948562171,5,1,0.172138337786,24
252,108,297,226,"(251L, 204L, 93L, 44L)",386.326160338,5,1,0.176535537042,25
253,109,295,224,"(248L, 202L, 95L, 44L)",378.276167472,5,1,0.161647645919,26
254,110,297,222,"(250L, 198L, 95L, 48L)",372.928377855,5,1,0.15175728814,27
255,111,296,220,"(249L, 199L, 94L, 43L)",372.147166735,5,1,0.150312493555,28
256,112,294,219,"(248L, 198L, 93L, 43L)",369.447452229,5,1,0.145319562966,29
257,113,297,218,"(250L, 195L, 94L, 47L)",360.580042313,5,1,0.128919916957,30
258,114,298,215,"(251L, 190L, 94L, 50L)",357.413394109,5,1,0.123063425595,31
259,115,301,216,"(254L, 192L, 95L, 49L)",355.54974359,5,1,0.119616736078,32
260,116,304,216,"(257L, 193L, 95L, 47L)",358.514941691,5,1,0.125100659756,33
261,117,306,216,"(258L, 191L, 96L, 50L)",353.039693593,5,1,0.114974576553,34
262,118,305,215,"(258L, 191L, 95L, 49L)",354.599637024,5,1,0.117859581339,35
263,119,308,215,"(261L, 192L, 94L, 47L)",354.494517544,5,1,0.117665170313,36
264,120,308,216,"(261L, 192L, 94L, 49L)",353.501268576,5,1,0.11582822676,37
265,121,304,215,"(257L, 191L, 94L, 48L)",349.607794944,5,1,0.108627523296,38
266,122,303,215,"(256L, 193L, 95L, 45L)",348.182611732,5,1,0.105991747979,39
267,123,305,214,"(259L, 191L, 92L, 47L)",349.143507175,5,1,0.107768855982,40
268,124,305,218,"(259L, 197L, 92L, 43L)",352.775487256,5,1,0.114485945663,41
269,125,304,220,"(258L, 197L, 93L, 47L)",348.463272727,5,1,0.106510810594,42
270,126,305,222,"(258L, 200L, 95L, 44L)",351.62960093,5,1,0.112366710136,43
271,127,306,221,"(260L, 198L, 92L, 47L)",348.915503876,5,1,0.107347180044,44
272,128,305,221,"(260L, 200L, 91L, 42L)",349.807471264,5,1,0.108996810495,45
273,129,307,221,"(261L, 199L, 93L, 44L)",348.221948212,5,1,0.106064498011,46
274,130,304,220,"(258L, 200L, 92L, 41L)",346.800575658,5,1,0.103435770236,47
275,131,307,218,"(261L, 197L, 92L, 43L)",344.172764228,5,1,0.0985758192878,48
276,132,308,218,"(262L, 197L, 92L, 43L)",345.036423841,5,1,0.100173096516,49
277,133,308,216,"(262L, 194L, 92L, 45L)",339.116459627,5,1,0.0892245423826,50
278,134,310,218,"(264L, 196L, 93L, 44L)",339.39307049,5,1,0.0897361145633,51
279,135,310,217,"(264L, 195L, 92L, 44L)",337.92038835,5,1,0.0870124933466,52
280,136,312,218,"(266L, 196L, 92L, 45L)",338.722442506,5,1,0.0884958356494,53
281,137,307,218,"(262L, 197L, 91L, 42L)",338.385176185,5,1,0.0878720854978,54
282,138,307,219,"(262L, 198L, 91L, 42L)",341.084507042,5,1,0.0928643065571,55
283,139,305,216,"(259L, 195L, 92L, 43L)",336.937172775,5,1,0.0851941058437,56
284,140,306,219,"(260L, 196L, 93L, 46L)",330.813266871,5,1,0.0738683760126,57
285,141,310,221,"(264L, 200L, 93L, 43L)",335.215,5,1,0.0820090693854,58
286,142,308,222,"(262L, 199L, 92L, 46L)",333.350912779,5,1,0.0785615722194,59
287,143,310,222,"(264L, 202L, 93L, 40L)",337.269298246,5,1,0.0858083483567,60
288,144,312,222,"(265L, 202L, 94L, 40L)",336.743635552,5,1,0.0848361724695,61
289,145,311,221,"(264L, 200L, 94L, 42L)",330.173146293,5,1,0.0726845183821,62
290,146,310,218,"(263L, 199L, 95L, 39L)",332.28627451,5,1,0.0765925992154,63
291,147,308,217,"(260L, 197L, 96L, 40L)",332.294372294,5,1,0.0766075754938,64
292,148,310,216,"(263L, 194L, 94L, 45L)",327.815800246,5,1,0.0683247739859,65
293,149,316,214,"(270L, 189L, 93L, 50L)",330.218672199,5,1,0.0727687153189,66
294,150,331,205,"(285L, 180L, 93L, 50L)",325.675499566,5,1,0.0643664396091,67
295,151,343,197,"(295L, 173L, 97L, 48L)",320.894159153,5,1,0.0555236894768,68
296,152,338,193,"(289L, 172L, 99L, 43L)",324.927339901,5,1,0.0629827713491,69
297,153,323,198,"(283L, 176L, 80L, 44L)",333.187292556,5,1,0.078258968216,70
298,154,310,200,"(279L, 178L, 63L, 44L)",335.47541841,5,1,0.0824906947731,71
299,155,311,202,"(273L, 181L, 77L, 42L)",335.173216132,5,1,0.0819317930843,72
300,156,304,204,"(271L, 184L, 66L, 40L)",340.318053198,5,1,0.0914468045069,73
301,157,303,204,"(271L, 185L, 64L, 38L)",343.709044908,5,1,0.0977182032808,74
302,158,298,205,"(270L, 184L, 57L, 42L)",342.36473755,5,1,0.0952320021236,75
303,159,298,205,"(270L, 184L, 57L, 42L)",327.015477793,5,1,0.0668446343461,76
304,160,299,202,"(264L, 181L, 71L, 42L)",328.621047431,5,1,0.0698140215692,77
305,161,299,202,"(264L, 181L, 71L, 42L)",319.631422925,5,1,0.0531883483407,78
