,z,x_col,y_row,track_window,pcna_mean_intensity,Sample_Number,Label,norm_mean_inten,offset_z
0,0,343,304,"(301, 264, 85, 80)",210.763050953,3,1,0.0794760433633,-4
1,1,338,303,"(302L, 269L, 72L, 69L)",213.05466541,3,1,0.118863032714,-3
2,2,333,302,"(301L, 267L, 65L, 70L)",213.790626902,3,1,0.131512327784,-2
3,3,339,302,"(305L, 268L, 68L, 69L)",216.208668731,3,1,0.173072280193,-1
4,4,340,302,"(306L, 268L, 68L, 69L)",218.131958763,3,1,0.206128715057,0
5,5,340,300,"(305L, 267L, 71L, 67L)",223.318497475,3,1,0.295272045614,1
6,6,339,300,"(307L, 265L, 65L, 70L)",223.20294394,3,1,0.293285975996,2
7,7,335,303,"(305L, 269L, 60L, 68L)",227.20260747,3,1,0.362029958832,3
8,8,335,299,"(306L, 265L, 59L, 69L)",229.828253854,3,1,0.407158102392,4
9,9,333,297,"(301L, 262L, 65L, 71L)",230.270101739,3,1,0.414752337055,5
10,10,333,294,"(299L, 258L, 68L, 73L)",232.244416483,3,1,0.448685756162,6
11,11,335,296,"(303L, 259L, 64L, 75L)",233.262150668,3,1,0.466178002903,7
12,12,332,294,"(299L, 255L, 67L, 78L)",235.155588674,3,1,0.498721357802,8
13,13,329,290,"(296L, 252L, 67L, 76L)",236.599654875,3,1,0.52354116112,9
14,14,329,285,"(297L, 247L, 65L, 77L)",237.960990888,3,1,0.546939044176,10
15,15,325,285,"(292L, 246L, 67L, 78L)",239.802631579,3,1,0.578592135759,11
16,16,324,285,"(291L, 245L, 66L, 80L)",242.667420814,3,1,0.627830533077,12
17,17,323,285,"(289L, 247L, 68L, 77L)",245.161607401,3,1,0.670699219055,13
18,18,319,291,"(286L, 251L, 67L, 80L)",245.103124136,3,1,0.669694041361,14
19,19,321,289,"(287L, 249L, 68L, 81L)",249.033141605,3,1,0.737240986597,15
20,20,322,288,"(289L, 248L, 67L, 80L)",251.211774325,3,1,0.77468610897,16
21,21,318,285,"(284L, 245L, 69L, 80L)",263.593850267,3,1,0.987502314534,17
22,22,316,279,"(281L, 239L, 70L, 81L)",254.082633788,3,1,0.82402883796,18
23,23,318,279,"(282L, 239L, 72L, 80L)",256.344356955,3,1,0.862902072526,19
24,24,314,278,"(279L, 238L, 71L, 81L)",257.46443299,3,1,0.882153313811,20
25,25,312,278,"(276L, 238L, 72L, 80L)",258.79994877,3,1,0.90510741313,21
26,26,314,277,"(278L, 237L, 72L, 81L)",259.926160873,3,1,0.924464117725,22
27,27,313,279,"(278L, 239L, 70L, 80L)",260.277709208,3,1,0.930506334153,23
28,28,316,280,"(281L, 240L, 70L, 81L)",262.050217781,3,1,0.960971221522,24
29,29,313,278,"(278L, 238L, 71L, 81L)",262.40075662,3,1,0.966996087305,25
30,30,319,276,"(284L, 236L, 71L, 81L)",262.9942182,3,1,0.977196173472,26
31,31,321,278,"(286L, 237L, 71L, 82L)",261.881165346,3,1,0.958065642691,27
