,z,x_col,y_row,track_window,cyd1_mean_intensity,Sample_Number,Label,norm_mean_inten,offset_z
52,52,311,274,"(277L, 231L, 68L, 86L)",357.382373678,3,1,0.0620391262342,48
53,53,311,274,"(277L, 230L, 68L, 88L)",353.473222749,3,1,0.0565979026431,49
54,54,310,277,"(277L, 233L, 67L, 88L)",350.390197926,3,1,0.0523065801286,50
55,55,313,281,"(281L, 236L, 64L, 90L)",346.117198666,3,1,0.046358908933,51
56,56,312,276,"(279L, 232L, 66L, 89L)",341.972742356,3,1,0.0405901591828,52
57,57,309,274,"(276L, 231L, 67L, 87L)",337.466776626,3,1,0.0343182174041,53
58,58,311,272,"(277L, 228L, 68L, 88L)",335.239823215,3,1,0.0312184774206,54
59,59,312,276,"(279L, 232L, 67L, 89L)",333.187703773,3,1,0.0283620922562,55
60,60,315,278,"(281L, 234L, 68L, 89L)",332.457262961,3,1,0.0273453774127,56
61,61,313,279,"(280L, 235L, 67L, 88L)",330.795029586,3,1,0.0250316822855,57
62,62,312,279,"(279L, 235L, 67L, 88L)",330.964725379,3,1,0.0252678851768,58
63,63,310,278,"(276L, 235L, 68L, 87L)",329.609061186,3,1,0.023380909688,59
64,64,312,275,"(279L, 232L, 67L, 87L)",327.806359753,3,1,0.0208716943255,60
65,65,312,275,"(279L, 231L, 67L, 88L)",327.253320454,3,1,0.0201019081146,61
66,66,315,275,"(282L, 231L, 66L, 89L)",324.353605769,3,1,0.0160657385637,62
67,67,312,275,"(279L, 231L, 67L, 88L)",317.381897386,3,1,0.00636168138846,63
68,68,314,278,"(280L, 234L, 69L, 89L)",320.165572233,3,1,0.0102363328201,64
69,69,316,279,"(282L, 235L, 68L, 89L)",320.408787011,3,1,0.0105748682235,65
70,70,312,279,"(279L, 234L, 67L, 91L)",316.565258662,3,1,0.00522498598466,66
71,71,312,280,"(280L, 235L, 65L, 91L)",313.356095215,3,1,0.000758088653609,67
72,72,312,279,"(279L, 235L, 67L, 89L)",321.84702755,3,1,0.0125767833433,68
73,73,319,280,"(285L, 235L, 68L, 91L)",318.466956102,3,1,0.00787199582508,69
74,74,315,279,"(283L, 234L, 64L, 91L)",317.064779271,3,1,0.00592027848457,70
75,75,312,280,"(279L, 236L, 66L, 89L)",316.477149877,3,1,0.0051023456453,71
76,76,315,280,"(282L, 235L, 67L, 91L)",312.811459819,3,1,0.0,72
77,77,313,280,"(280L, 235L, 66L, 90L)",314.700096665,3,1,0.00262883054306,73
78,78,315,282,"(283L, 237L, 65L, 91L)",323.795584222,3,1,0.0152890174648,74
79,79,318,285,"(285L, 239L, 66L, 92L)",318.581675264,3,1,0.00803167566882,75
80,80,321,283,"(289L, 238L, 64L, 91L)",319.636179889,3,1,0.00949946126859,76
81,81,315,285,"(283L, 240L, 65L, 91L)",325.113087675,3,1,0.0171228762737,77
82,82,317,285,"(286L, 240L, 62L, 91L)",326.653281853,3,1,0.0192667026572,78
83,83,317,286,"(286L, 241L, 62L, 90L)",322.062581486,3,1,0.0128768170814,79
84,84,317,287,"(287L, 242L, 61L, 91L)",323.389692348,3,1,0.0147240486312,80
85,85,319,289,"(288L, 244L, 63L, 90L)",319.600507614,3,1,0.00944980833226,81
86,86,319,287,"(288L, 242L, 62L, 90L)",323.737368556,3,1,0.015207985941,82
87,87,324,288,"(291L, 243L, 66L, 91L)",320.095815796,3,1,0.0101392374723,83
88,88,322,288,"(288L, 243L, 68L, 91L)",322.214785215,3,1,0.0130886724262,84
89,89,320,287,"(289L, 242L, 62L, 91L)",325.342372022,3,1,0.017442021639,85
90,90,323,285,"(289L, 241L, 69L, 89L)",324.788750318,3,1,0.0166714247672,86
91,91,325,283,"(293L, 237L, 65L, 92L)",323.977699825,3,1,0.0155425077315,87
92,92,327,283,"(293L, 238L, 69L, 91L)",325.029546612,3,1,0.017006593836,88
93,93,328,286,"(296L, 240L, 64L, 92L)",324.078491335,3,1,0.0156828014056,89
94,94,331,289,"(301L, 243L, 61L, 92L)",322.09111333,3,1,0.0129165311123,90
95,95,332,286,"(301L, 240L, 63L, 93L)",324.951861042,3,1,0.0168984617724,91
96,96,328,286,"(299L, 240L, 59L, 92L)",325.043546284,3,1,0.0170260802529,92
97,97,331,286,"(300L, 241L, 62L, 91L)",325.789432383,3,1,0.0180642936937,93
98,98,329,288,"(298L, 242L, 62L, 93L)",324.478138583,3,1,0.0162390782222,94
99,99,328,288,"(297L, 243L, 63L, 91L)",326.64397351,3,1,0.0192537461922,95
100,100,330,289,"(299L, 244L, 63L, 91L)",328.189579572,3,1,0.0214051054819,96
101,101,337,290,"(307L, 244L, 60L, 93L)",329.256293519,3,1,0.0228898854762,97
102,102,334,289,"(304L, 243L, 61L, 92L)",327.679439746,3,1,0.020695031887,98
103,103,331,291,"(302L, 245L, 58L, 92L)",327.056887016,3,1,0.0198284885727,99
104,104,337,293,"(307L, 245L, 60L, 96L)",328.044264013,3,1,0.0212028379145,100
105,105,337,288,"(308L, 242L, 59L, 92L)",331.99531372,3,1,0.0267023812346,101
106,106,343,288,"(313L, 242L, 60L, 93L)",334.066666667,3,1,0.0295855378895,102
107,107,347,287,"(314L, 241L, 66L, 93L)",332.78787062,3,1,0.0278055566753,103
108,108,340,287,"(308L, 241L, 64L, 93L)",328.124078624,3,1,0.0213139334324,104
109,109,344,290,"(311L, 243L, 66L, 94L)",329.675307672,3,1,0.0234731194665,105
110,110,343,291,"(308L, 246L, 70L, 91L)",329.892803221,3,1,0.0237758557723,106
111,111,344,288,"(309L, 243L, 71L, 90L)",332.897492422,3,1,0.0279581414046,107
112,112,340,288,"(310L, 242L, 61L, 92L)",331.81548913,3,1,0.0264520798728,108
113,113,341,291,"(310L, 246L, 63L, 90L)",332.64784796,3,1,0.0276106563975,109
114,114,348,291,"(313L, 245L, 70L, 93L)",331.8928,3,1,0.0265596903833,110
115,115,345,290,"(310L, 245L, 70L, 90L)",329.774143703,3,1,0.0236106912703,111
116,116,345,290,"(311L, 245L, 69L, 90L)",334.353464546,3,1,0.0299847374634,112
117,117,340,291,"(312L, 245L, 56L, 92L)",334.809633689,3,1,0.0306196882109,113
118,118,349,291,"(317L, 245L, 64L, 93L)",334.449275362,3,1,0.0301180984119,114
119,119,343,287,"(315L, 241L, 56L, 92L)",338.729666472,3,1,0.0360760584664,115
120,120,344,289,"(315L, 243L, 58L, 93L)",341.293636364,3,1,0.0396448982774,116
121,121,342,293,"(311L, 243L, 62L, 101L)",343.293952968,3,1,0.0424291780588,117
122,122,346,290,"(315L, 241L, 62L, 98L)",344.362655602,3,1,0.0439167261454,118
123,123,341,289,"(311L, 241L, 60L, 97L)",350.006922258,3,1,0.0517730912333,119
124,124,344,286,"(312L, 244L, 64L, 85L)",352.893878719,3,1,0.0557915023629,120
125,125,342,288,"(311L, 244L, 62L, 88L)",353.266870314,3,1,0.0563106766552,121
126,126,343,293,"(312L, 246L, 63L, 94L)",352.993143171,3,1,0.055929670494,122
127,127,338,295,"(306L, 249L, 65L, 92L)",352.1671792,3,1,0.0547799950987,123
128,128,339,294,"(305L, 248L, 68L, 92L)",356.939936776,3,1,0.0614232896613,124
129,129,346,294,"(310L, 246L, 72L, 97L)",358.747750205,3,1,0.0639396205107,125
130,130,344,294,"(306L, 247L, 76L, 94L)",364.042170293,3,1,0.0713090273224,126
131,131,336,295,"(305L, 248L, 63L, 95L)",372.077784325,3,1,0.0824939555675,127
132,132,341,295,"(305L, 247L, 72L, 96L)",372.300054855,3,1,0.0828033382621,128
133,133,336,294,"(303L, 248L, 67L, 92L)",375.790345215,3,1,0.0876615416395,129
134,134,343,291,"(310L, 243L, 66L, 97L)",374.870521862,3,1,0.0863812215346,130
135,135,337,289,"(304L, 240L, 66L, 99L)",376.36493467,3,1,0.0884613239344,131
136,136,339,292,"(305L, 248L, 69L, 89L)",373.906976744,3,1,0.0850400442509,132
137,137,339,292,"(305L, 248L, 69L, 89L)",375.049033343,3,1,0.0866296951543,133
138,138,339,292,"(305L, 248L, 69L, 89L)",377.477444662,3,1,0.0900098483387,134
139,139,335,290,"(305L, 244L, 60L, 92L)",354.114131974,3,1,0.0574899967215,135
140,140,341,287,"(307L, 240L, 68L, 94L)",367.840093085,3,1,0.0765954302956,136
141,141,341,288,"(311L, 239L, 61L, 98L)",366.878070974,3,1,0.0752563729138,137
142,142,342,293,"(317L, 246L, 50L, 94L)",372.043856712,3,1,0.08244673106,138
143,0,292,233,"(253, 198, 78, 71)",490.283444387,3,2,,-56
144,0,313,252,"(271, 220, 84, 65)",704.192444301,5,1,0.361577086623,-83
145,1,314,253,"(274L, 223L, 81L, 61L)",830.410442829,5,1,0.493335642346,-82
146,2,320,251,"(280L, 221L, 81L, 61L)",915.50831117,5,1,0.582169028697,-81
147,3,323,251,"(284L, 222L, 79L, 59L)",987.504273504,5,1,0.657325378233,-80
148,4,327,249,"(289L, 219L, 76L, 61L)",1026.64643347,5,1,0.698185750962,-79
149,5,326,249,"(288L, 219L, 77L, 61L)",972.628649948,5,1,0.641796763471,-78
150,6,327,250,"(289L, 221L, 76L, 59L)",1035.24719888,5,1,0.707164061834,-77
151,7,329,249,"(291L, 220L, 76L, 59L)",1055.28164117,5,1,0.728077950594,-76
152,8,326,247,"(289L, 217L, 75L, 60L)",1105.25818815,5,1,0.780248304486,-75
153,9,329,248,"(290L, 219L, 78L, 58L)",1135.6437261,5,1,0.811967668141,-74
154,10,330,246,"(295L, 217L, 70L, 58L)",1152.10176991,5,1,0.829148166228,-73
155,11,326,245,"(292L, 217L, 69L, 57L)",1162.08892989,5,1,0.839573729854,-72
156,12,327,245,"(291L, 218L, 72L, 54L)",1165.27295918,5,1,0.842897527617,-71
157,13,329,244,"(291L, 220L, 76L, 49L)",1161.25343511,5,1,0.838701559592,-70
158,14,333,242,"(293L, 219L, 80L, 47L)",1168.7633295,5,1,0.846541113769,-69
159,15,328,243,"(296L, 220L, 65L, 47L)",1277.07308216,5,1,0.959605310223,-68
160,16,327,245,"(294L, 222L, 67L, 46L)",1285.90056943,5,1,0.968820295299,-67
161,17,326,243,"(290L, 220L, 73L, 46L)",1280.40536013,5,1,0.963083864297,-66
162,18,332,242,"(295L, 217L, 75L, 50L)",1290.36276083,5,1,0.973478362311,-65
163,19,332,240,"(293L, 215L, 79L, 50L)",1299.34856916,5,1,0.982858618221,-64
164,20,334,239,"(293L, 215L, 82L, 49L)",1303.77310263,5,1,0.987477374243,-63
165,21,333,237,"(291L, 214L, 84L, 47L)",1300.51340283,5,1,0.984074584281,-62
166,22,331,235,"(289L, 213L, 84L, 44L)",1315.76914153,5,1,1.0,-61
167,23,330,236,"(288L, 214L, 84L, 45L)",1308.68416988,5,1,0.992604021277,-60
168,24,327,237,"(285L, 214L, 85L, 47L)",1294.64142539,5,1,0.977944846242,-59
169,25,323,235,"(280L, 212L, 86L, 46L)",1285.74171939,5,1,0.968654472265,-58
170,26,322,233,"(280L, 211L, 84L, 44L)",1305.7674873,5,1,0.989559305869,-57
171,27,324,234,"(282L, 213L, 85L, 42L)",1284.73861852,5,1,0.967607338554,-56
172,28,324,234,"(282L, 214L, 84L, 41L)",1297.81348222,5,1,0.981256145986,-55
173,29,322,231,"(282L, 212L, 81L, 39L)",1302.10819234,5,1,0.985739379835,-54
174,30,326,229,"(285L, 210L, 82L, 39L)",1286.80208333,5,1,0.969761382717,-53
175,31,327,230,"(285L, 210L, 84L, 41L)",1263.30256623,5,1,0.94523031369,-52
176,32,324,230,"(283L, 210L, 83L, 41L)",1279.36462244,5,1,0.961997441628,-51
177,33,323,228,"(282L, 207L, 83L, 43L)",1275.73516767,5,1,0.958208665663,-50
178,34,323,226,"(281L, 205L, 84L, 43L)",1259.89485662,5,1,0.941673016785,-49
179,35,324,223,"(283L, 201L, 83L, 44L)",1225.51565295,5,1,0.905784678549,-48
180,36,326,223,"(285L, 200L, 83L, 46L)",1201.60840051,5,1,0.88082797594,-47
181,37,327,224,"(286L, 205L, 82L, 38L)",1243.75701889,5,1,0.92482678077,-46
182,38,331,223,"(290L, 201L, 82L, 44L)",1215.08655332,5,1,0.894897775567,-45
183,39,331,224,"(291L, 202L, 81L, 44L)",1166.76215196,5,1,0.844452091083,-44
184,40,332,224,"(292L, 202L, 80L, 44L)",1151.14620162,5,1,0.828150651619,-43
185,41,331,224,"(291L, 203L, 81L, 42L)",1165.60980592,5,1,0.843249160828,-42
186,42,329,224,"(289L, 205L, 81L, 39L)",1135.83045685,5,1,0.81216259576,-41
187,43,327,225,"(287L, 204L, 80L, 42L)",1099.73530795,5,1,0.774482987906,-40
188,44,325,225,"(284L, 203L, 83L, 45L)",1085.79912664,5,1,0.759935053833,-39
189,45,325,226,"(284L, 203L, 82L, 47L)",1046.68214742,5,1,0.719100967207,-38
190,46,325,228,"(284L, 205L, 83L, 47L)",1020.85102947,5,1,0.692135947688,-37
191,47,323,229,"(281L, 206L, 84L, 46L)",995.310149616,5,1,0.665473906768,-36
192,48,321,227,"(279L, 204L, 85L, 46L)",958.96644813,5,1,0.62753483569,-35
193,49,321,227,"(278L, 205L, 86L, 44L)",949.942366412,5,1,0.618114626309,-34
194,50,322,226,"(279L, 205L, 86L, 42L)",961.703536184,5,1,0.630392072955,-33
195,51,322,226,"(280L, 206L, 84L, 40L)",923.849229488,5,1,0.590876086041,-32
196,52,318,225,"(276L, 205L, 84L, 40L)",896.993297026,5,1,0.562841266006,-31
197,53,317,227,"(274L, 205L, 86L, 44L)",859.210765732,5,1,0.5234002052,-30
198,54,314,228,"(272L, 208L, 85L, 40L)",857.606595995,5,1,0.52172561766,-29
199,55,315,229,"(272L, 209L, 86L, 40L)",835.429038855,5,1,0.498574538318,-28
200,56,315,229,"(273L, 210L, 85L, 39L)",799.305057096,5,1,0.460864831945,-27
201,57,312,228,"(270L, 209L, 85L, 39L)",785.471029596,5,1,0.446423535898,-26
202,58,313,228,"(272L, 210L, 83L, 36L)",753.138618058,5,1,0.412671837274,-25
203,59,313,225,"(271L, 207L, 85L, 37L)",726.772416738,5,1,0.385148245976,-24
204,60,316,224,"(275L, 206L, 83L, 37L)",721.599259602,5,1,0.379748004167,-23
205,61,315,224,"(271L, 206L, 89L, 37L)",689.186611646,5,1,0.345912547008,-22
206,62,311,224,"(267L, 206L, 89L, 37L)",672.967396159,5,1,0.328981361025,-21
207,63,312,224,"(268L, 206L, 89L, 36L)",635.567532468,5,1,0.289939765677,-20
208,64,308,224,"(263L, 206L, 91L, 37L)",617.822907861,5,1,0.271416210104,-19
209,65,306,225,"(263L, 208L, 87L, 34L)",614.860630271,5,1,0.268323898219,-18
210,66,306,224,"(261L, 207L, 91L, 34L)",597.507239819,5,1,0.250208750701,-17
211,67,304,224,"(260L, 206L, 89L, 36L)",594.244454504,5,1,0.246802739785,-16
212,68,307,224,"(263L, 207L, 89L, 34L)",593.311245917,5,1,0.245828566394,-15
213,69,306,224,"(262L, 207L, 89L, 34L)",591.942638623,5,1,0.244399881718,-14
214,70,307,224,"(263L, 208L, 88L, 33L)",588.621794872,5,1,0.24093326379,-13
215,71,303,224,"(258L, 207L, 91L, 35L)",571.69546332,5,1,0.223263921661,-12
216,72,305,223,"(261L, 207L, 88L, 33L)",583.010752688,5,1,0.235075915212,-11
217,73,308,224,"(264L, 206L, 89L, 36L)",587.962536023,5,1,0.240245065635,-10
218,74,307,223,"(262L, 206L, 90L, 35L)",586.614607258,5,1,0.238837967207,-9
219,75,307,224,"(261L, 206L, 92L, 36L)",589.253476895,5,1,0.241592674588,-8
220,76,304,223,"(258L, 203L, 93L, 40L)",574.766293068,5,1,0.226469550787,-7
221,77,304,223,"(257L, 202L, 94L, 43L)",555.292210212,5,1,0.206140619407,-6
222,78,304,225,"(258L, 203L, 92L, 44L)",578.007829978,5,1,0.229853380562,-5
223,79,301,228,"(254L, 207L, 94L, 42L)",571.302545455,5,1,0.222853755986,-4
224,80,300,231,"(253L, 210L, 94L, 42L)",579.226408193,5,1,0.231125450375,-3
225,81,298,231,"(252L, 211L, 93L, 41L)",599.206666667,5,1,0.251982776827,-2
226,82,296,232,"(250L, 211L, 93L, 43L)",598.242851838,5,1,0.250976653681,-1
227,83,295,232,"(249L, 212L, 93L, 41L)",583.889766742,5,1,0.235993515107,0
228,84,297,233,"(251L, 213L, 92L, 40L)",599.433887569,5,1,0.252219971984,1
229,85,300,233,"(253L, 212L, 94L, 43L)",562.714932127,5,1,0.213889174529,2
230,86,304,233,"(258L, 211L, 93L, 44L)",534.264293828,5,1,0.184189646289,3
231,87,307,233,"(262L, 212L, 91L, 43L)",447.886309047,5,1,0.0940199505745,4
232,88,308,232,"(262L, 211L, 92L, 43L)",425.069514238,5,1,0.0702015731214,5
233,89,304,231,"(257L, 211L, 94L, 41L)",408.842251288,5,1,0.0532619864181,6
234,90,305,231,"(258L, 210L, 94L, 43L)",400.117762899,5,1,0.0441545215318,7
235,91,303,229,"(256L, 208L, 95L, 43L)",387.939835575,5,1,0.0314420230409,8
236,92,301,228,"(254L, 206L, 95L, 44L)",382.142650253,5,1,0.0253903602495,9
237,93,301,227,"(254L, 205L, 95L, 45L)",383.509218289,5,1,0.026816916151,10
238,94,300,226,"(253L, 204L, 94L, 45L)",379.51510739,5,1,0.0226474768507,11
239,95,298,227,"(251L, 205L, 95L, 44L)",381.941949617,5,1,0.0251808495114,12
240,96,297,226,"(249L, 205L, 96L, 43L)",384.702006816,5,1,0.0280620641915,13
241,97,296,226,"(248L, 204L, 97L, 44L)",389.770219199,5,1,0.0333527545169,14
242,98,294,226,"(246L, 205L, 96L, 42L)",401.159025196,5,1,0.0452414918375,15
243,99,292,225,"(246L, 204L, 93L, 43L)",402.067223548,5,1,0.0461895571257,16
244,100,292,225,"(245L, 205L, 95L, 41L)",403.870954527,5,1,0.0480724659932,17
245,101,296,226,"(248L, 205L, 96L, 43L)",403.574037316,5,1,0.0477625150887,18
246,102,296,227,"(249L, 207L, 94L, 41L)",398.652156708,5,1,0.0426245800237,19
247,103,297,229,"(250L, 208L, 94L, 42L)",395.525228447,5,1,0.0393603898423,20
248,104,298,230,"(251L, 209L, 95L, 42L)",390.409940358,5,1,0.0340205573419,21
249,105,298,228,"(251L, 206L, 95L, 45L)",384.360374415,5,1,0.0277054352462,22
250,106,300,229,"(252L, 207L, 96L, 44L)",377.538639876,5,1,0.0205842488796,23
251,107,298,228,"(251L, 207L, 94L, 43L)",381.197245849,5,1,0.0244034556843,24
252,108,297,226,"(251L, 204L, 93L, 44L)",380.89535865,5,1,0.0240883166252,25
253,109,295,224,"(248L, 202L, 95L, 44L)",381.660225443,5,1,0.0248867585681,26
254,110,297,222,"(250L, 198L, 95L, 48L)",375.503290747,5,1,0.0184595545826,27
255,111,296,220,"(249L, 199L, 94L, 43L)",375.281288219,5,1,0.0182278068692,28
256,112,294,219,"(248L, 198L, 93L, 43L)",374.936703822,5,1,0.0178680963447,29
257,113,297,218,"(250L, 195L, 94L, 47L)",365.210860367,5,1,0.00771532018159,30
258,114,298,215,"(251L, 190L, 94L, 50L)",363.646213184,5,1,0.00608199010625,31
259,115,301,216,"(254L, 192L, 95L, 49L)",360.226324786,5,1,0.00251197979686,32
260,116,304,216,"(257L, 193L, 95L, 47L)",363.368075802,5,1,0.00579164340316,33
261,117,306,216,"(258L, 191L, 96L, 50L)",359.638231198,5,1,0.0018980708238,34
262,118,305,215,"(258L, 191L, 95L, 49L)",361.642105263,5,1,0.00398990840469,35
263,119,308,215,"(261L, 192L, 94L, 47L)",365.929459064,5,1,0.00846546301103,36
264,120,308,216,"(261L, 192L, 94L, 49L)",362.257702066,5,1,0.00463252789313,37
265,121,304,215,"(257L, 191L, 94L, 48L)",361.408356742,5,1,0.00374589908775,38
266,122,303,215,"(256L, 193L, 95L, 45L)",358.212639665,5,1,0.000409900486564,39
267,123,305,214,"(259L, 191L, 92L, 47L)",361.670633532,5,1,0.00401968897086,40
268,124,305,218,"(259L, 197L, 92L, 43L)",366.028110945,5,1,0.00856844538602,41
269,125,304,220,"(258L, 197L, 93L, 47L)",364.464727273,5,1,0.00693643428586,42
270,126,305,222,"(258L, 200L, 95L, 44L)",370.779542813,5,1,0.0135284495684,43
271,127,306,221,"(260L, 198L, 92L, 47L)",369.224418605,5,1,0.0119050604952,44
272,128,305,221,"(260L, 200L, 91L, 42L)",372.855500821,5,1,0.0156955353413,45
273,129,307,221,"(261L, 199L, 93L, 44L)",370.853678586,5,1,0.0136058396595,46
274,130,304,220,"(258L, 200L, 92L, 41L)",371.911184211,5,1,0.0147097663211,47
275,131,307,218,"(261L, 197L, 92L, 43L)",366.045121951,5,1,0.00858620312025,48
276,132,308,218,"(262L, 197L, 92L, 43L)",370.099337748,5,1,0.0128183857269,49
277,133,308,216,"(262L, 194L, 92L, 45L)",364.756599379,5,1,0.00724111862258,50
278,134,310,218,"(264L, 196L, 93L, 44L)",368.003185982,5,1,0.0106302197556,51
279,135,310,217,"(264L, 195L, 92L, 44L)",365.239223301,5,1,0.00774492815587,52
280,136,312,218,"(266L, 196L, 92L, 45L)",368.418318795,5,1,0.0110635755408,53
281,137,307,218,"(262L, 197L, 91L, 42L)",370.01782098,5,1,0.0127332906393,54
282,138,307,219,"(262L, 198L, 91L, 42L)",375.68288519,5,1,0.0186470326338,55
283,139,305,216,"(259L, 195L, 92L, 43L)",357.819975836,5,1,0.0,56
284,140,306,219,"(260L, 196L, 93L, 46L)",358.126150307,5,1,0.000319614528651,57
285,141,310,221,"(264L, 200L, 93L, 43L)",369.186666667,5,1,0.0118656513707,58
286,142,308,222,"(262L, 199L, 92L, 46L)",374.61703854,5,1,0.0175343988025,59
287,143,310,222,"(264L, 202L, 93L, 40L)",378.132017544,5,1,0.0212036738854,60
288,144,312,222,"(265L, 202L, 94L, 40L)",383.04376954,5,1,0.0263310357246,61
289,145,311,221,"(264L, 200L, 94L, 42L)",383.261723447,5,1,0.026558557095,62
290,146,310,218,"(263L, 199L, 95L, 39L)",408.565141612,5,1,0.0529727125339,63
291,147,308,217,"(260L, 197L, 96L, 40L)",412.286147186,5,1,0.0568570580788,64
292,148,310,216,"(263L, 194L, 94L, 45L)",385.831354892,5,1,0.0292409869531,65
293,149,316,214,"(270L, 189L, 93L, 50L)",387.985892116,5,1,0.031490101313,66
294,150,331,205,"(285L, 180L, 93L, 50L)",425.67767159,5,1,0.0708364265916,67
295,151,343,197,"(295L, 173L, 97L, 48L)",469.259506076,5,1,0.116331361027,68
296,152,338,193,"(289L, 172L, 99L, 43L)",473.79679803,5,1,0.121067825253,69
297,153,323,198,"(283L, 176L, 80L, 44L)",466.79658606,5,1,0.11376032688,70
298,154,310,200,"(279L, 178L, 63L, 44L)",447.800209205,5,1,0.0939300712309,71
299,155,311,202,"(273L, 181L, 77L, 42L)",450.539296794,5,1,0.0967893958039,72
300,156,304,204,"(271L, 184L, 66L, 40L)",464.032258065,5,1,0.11087465393,73
301,157,303,204,"(271L, 185L, 64L, 38L)",484.18342821,5,1,0.131910394517,74
302,158,298,205,"(270L, 184L, 57L, 42L)",502.105652759,5,1,0.150619346089,75
