,z,x_col,y_row,track_window,cyd1_mean_intensity,Sample_Number,Label,norm_mean_inten,offset_z
0,0,343,304,"(301, 264, 85, 80)",702.79993748,3,1,0.542832585219,-4
1,1,338,303,"(302L, 269L, 72L, 69L)",801.493559535,3,1,0.680206166936,-3
2,2,333,302,"(301L, 267L, 65L, 70L)",858.91509434,3,1,0.760132323658,-2
3,3,339,302,"(305L, 268L, 68L, 69L)",924.368111455,3,1,0.851237657601,-1
4,4,340,302,"(306L, 268L, 68L, 69L)",956.14197349,3,1,0.895464317256,0
5,5,340,300,"(305L, 267L, 71L, 67L)",923.652146465,3,1,0.850241091936,1
6,6,339,300,"(307L, 265L, 65L, 70L)",966.194801127,3,1,0.909457044548,2
7,7,335,303,"(305L, 269L, 60L, 68L)",1013.59055673,3,1,0.975428123224,3
8,8,335,299,"(306L, 265L, 59L, 69L)",1026.82610255,3,1,0.993850938161,4
9,9,333,297,"(301L, 262L, 65L, 71L)",1024.15687562,3,1,0.990135589021,5
10,10,333,294,"(299L, 258L, 68L, 73L)",1031.24378735,3,1,1.0,6
11,11,335,296,"(303L, 259L, 64L, 75L)",1021.64064399,3,1,0.98663319703,7
12,12,332,294,"(299L, 255L, 67L, 78L)",1020.00745156,3,1,0.984359924576,8
13,13,329,290,"(296L, 252L, 67L, 76L)",996.99597354,3,1,0.952329798505,9
14,14,329,285,"(297L, 247L, 65L, 77L)",991.439920273,3,1,0.944596219358,10
15,15,325,285,"(292L, 246L, 67L, 78L)",1018.21220605,3,1,0.981861087248,11
16,16,324,285,"(291L, 245L, 66L, 80L)",1015.46097285,3,1,0.978031591983,12
17,17,323,285,"(289L, 247L, 68L, 77L)",1017.65596993,3,1,0.981086851329,13
18,18,319,291,"(286L, 251L, 67L, 80L)",986.941111418,3,1,0.938334239373,14
19,19,321,289,"(287L, 249L, 68L, 81L)",961.537660915,3,1,0.902974680053,15
20,20,322,288,"(289L, 248L, 67L, 80L)",959.717906787,3,1,0.90044172871,16
21,21,318,285,"(284L, 245L, 69L, 80L)",925.905882353,3,1,0.853378110973,17
22,22,316,279,"(281L, 239L, 70L, 81L)",910.110703043,3,1,0.83139249214,18
23,23,318,279,"(282L, 239L, 72L, 80L)",865.320997375,3,1,0.76904882531,19
24,24,314,278,"(279L, 238L, 71L, 81L)",861.46185567,3,1,0.763677210536,20
25,25,312,278,"(276L, 238L, 72L, 80L)",847.788422131,3,1,0.744644891116,21
26,26,314,277,"(278L, 237L, 72L, 81L)",806.026896727,3,1,0.686516207587,22
27,27,313,279,"(278L, 239L, 70L, 80L)",784.230560355,3,1,0.656177460936,23
28,28,316,280,"(281L, 240L, 70L, 81L)",769.900333077,3,1,0.636230937472,24
29,29,313,278,"(278L, 238L, 71L, 81L)",731.876166456,3,1,0.583304356689,25
30,30,319,276,"(284L, 236L, 71L, 81L)",697.573152338,3,1,0.535557320811,26
31,31,321,278,"(286L, 237L, 71L, 82L)",663.16713519,3,1,0.487666913004,27
32,32,320,278,"(285L, 237L, 70L, 82L)",628.921464646,3,1,0.439999694768,28
33,33,320,278,"(285L, 237L, 70L, 83L)",597.405620492,3,1,0.396132175245,29
34,34,321,277,"(287L, 236L, 69L, 83L)",563.615248227,3,1,0.349098695584,30
35,35,321,275,"(287L, 234L, 68L, 82L)",536.564154786,3,1,0.311445749852,31
36,36,320,276,"(286L, 236L, 68L, 81L)",504.874616956,3,1,0.267336462706,32
37,37,319,278,"(285L, 238L, 68L, 81L)",478.000249875,3,1,0.229929505848,33
38,38,319,282,"(285L, 241L, 68L, 82L)",458.861369193,3,1,0.203289723717,34
39,39,317,278,"(282L, 238L, 70L, 81L)",440.345177665,3,1,0.17751667479,35
40,40,315,280,"(281L, 238L, 69L, 85L)",425.045443499,3,1,0.156220675739,36
41,41,312,281,"(278L, 240L, 69L, 82L)",412.713053892,3,1,0.139054981581,37
42,42,313,282,"(279L, 241L, 69L, 82L)",404.155102041,3,1,0.127143001116,38
43,43,313,281,"(279L, 239L, 69L, 84L)",393.667767815,3,1,0.11254547561,39
44,44,311,277,"(277L, 237L, 69L, 81L)",385.265982824,3,1,0.10085086685,40
45,45,308,276,"(274L, 235L, 69L, 82L)",380.165762792,3,1,0.093751770892,41
46,46,307,280,"(273L, 239L, 69L, 82L)",373.41972693,3,1,0.0843618317106,42
47,47,308,279,"(274L, 238L, 68L, 82L)",369.432811016,3,1,0.0788123655169,43
48,48,312,276,"(278L, 234L, 69L, 84L)",363.664517615,3,1,0.0707833651775,44
49,49,310,274,"(276L, 232L, 68L, 85L)",360.990984579,3,1,0.0670620222852,45
50,50,310,272,"(276L, 230L, 68L, 85L)",363.019760056,3,1,0.0698859145292,46
51,51,310,273,"(277L, 231L, 67L, 85L)",360.798616082,3,1,0.0667942608142,47
